gene_id,eyestalk1,eyestalk2,eyestalk6,ganglion1,ganglion5,ganglion6,gill1,gill2,gill5,hepatopancreas2,hepatopancreas4,hepatopancreas5,heart1,heart2,heart5,intestine1,intestine3,intestine4,muscle1,muscle2,muscle5,ovary1,ovary2,ovary5,stomach1,stomach2,stomach5,testis3,testis4,testis6
LOC126996200,1.58,1.85,1.08,1.3,0.66,56.21,4.62,1.15,5.64,40.5,50.34,20.4,0.07,0.07,0.31,11.57,79.18,14.82,0.19,0,0.2,3.26,1.33,5.32,21.4,3.36,4.45,0.68,1.61,1.5
LOC126996201,17.82,8.23,12.29,41.87,37.34,33.49,13.76,9.34,23.56,1.97,10.67,8.82,19.56,6.72,16.42,8.32,13.07,11.59,15.79,5.8,10.91,44.7,31.91,79.63,21.16,5.41,10.57,6.98,6.89,8.23
LOC126996202,0.74,0.13,0.52,0.54,1.23,6.7,0.17,0.39,0,69.35,31.04,54.76,1.18,1.11,0.48,0.77,0,0.28,0.12,0.68,0.08,0.23,0.22,0,0.1,0.15,0.11,0.07,0.18,0.05
LOC126996203,0.79,0.62,1.25,0.87,0,54.3,0.78,0.21,1.54,17.94,25.74,21.35,0,0.15,0.08,0.09,93.75,1.81,0,0,0,0,0.09,0.06,4.88,3.07,4.59,0.05,0.68,0.2
LOC126996204,3.45,6.78,4.95,15.42,12.36,22.81,9.47,12.96,15.49,17.03,23,19.8,8.62,7.86,6.3,19.66,15.75,13.32,4.11,5.64,4.28,29.32,15.36,23.58,18.86,9.88,7.39,1.51,3.59,3.9
LOC126996205,2.62,5.54,2.2,7.63,7.05,5.3,4.09,4.12,4.64,7.16,9.56,7.34,3.77,3.33,2.92,4.44,3.45,3.02,2.75,4,4,11.14,8.76,8.8,14.28,9.58,5.28,1.38,2.25,2.25
LOC126996206,2.79,5.42,3.21,10.27,9.5,9.7,4.69,9.42,7.63,8.41,8.23,13,10.24,10.89,12.58,3.52,1.26,4.21,6.86,7.27,7.78,12.81,14.43,19.79,20.3,16.33,12.84,1.35,2.58,2.99
LOC126996207,0.22,0.88,0.64,0.83,0,0,0,0,0,0.05,0.06,0,6.66,5.7,3.05,0.75,0,0.19,2.56,2.25,3.21,0.31,0.08,0.21,0.2,1.41,0.11,0.04,0.03,0.2
LOC126996208,1.33,1.19,1.69,1.09,0,0,0,0,0.15,0,0,0.11,4.86,6.66,5.62,1.02,0.12,1.8,4.06,4.62,4.05,0,0,0.18,0.23,2.65,2.63,0.23,0.05,0.23
LOC126996209,29.83,90.91,101.75,101.29,77.34,93.51,76.64,35.91,39.48,72.95,78.44,73.67,19.31,18.56,16.96,66.54,65.85,42.75,9.35,15.68,14.73,52.86,73.59,55.89,7.02,12.57,8.09,2.33,5.31,5.02
